scheme_id,step_id,section,step_or_instruction
S006,S006-A016,,Step 2:** Go to Services > BOC Scheme Benefit > Application Status.
S006,S006-A017,,"Step 3:** On the next page, fill in your Application ID, and click ""Search"". The status of your application will be displayed in a tabular format: Application ID, Applicant Name, Scheme Applied, Application Status, Remarks, Date, and Time."
S006,S006-A018,,"Step 4:** Once the DLC approves the application, the ""Application Status"" changes to ""Approved"". The Applicant can take print of this page by clicking “PRINT” and submit the same at the Labour Office to avail of the scheme benefit."
S007,S007-A001,,Online**
S007,S007-A002,,The application will have to be submitted online by the beneficiary on the Board's online portal [www.ldms.rajasthan.gov.in](https://ldms.rajasthan.gov.in/) in the prescribed form.
S007,S007-A003,,"Time period for submission of application - After the date of publication of the notification, the registered beneficiary will have to submit the application within a maximum period of 3 months after obtaining a valid visa as per rules."
S007,S007-A004,,"The approval under the scheme will be issued after the senior most officer of the local labor office or other officer authorized by the divisional secretary, test and complete satisfaction."
S007,S007-A005,,The assistance amount will be transferred through electronic means (RTGS / NEFT) to the candidate's bank account under the central banking system.
S007,S007-A006,,﻿
S008,S008-A001,,Offline**
S008,S008-A002,,Step 1:** The applicant should take print of the format of the [application form](https://artnculturemanipur.gov.in/media/filer_public/77/18/771853bc-9222-4c87-90db-c082867788bf/application_form_for_training_with_new_production.pdf) [﻿](https://artnculturemanipur.gov.in/media/filer_public/77/18/771853bc-9222-4c87-90db-c082867788bf/application_form_for_training_with_new_production.pdf)
S008,S008-A003,,provided in the scheme guidelines.
S008,S008-A004,,Step 2:** The applicant should fill in all the mandatory fields and attach all the (self-attested) required documents.
S008,S008-A005,,"Step 3:** The duly filled-in application form should be submitted to the Directorate of Art & Culture, Government of Manipur office at Palace Compound, Imphal along with a cover letter addressed to the Director (Art & Culture) latest by a month before the travel schedule."
S009,S009-A001,,Offline**
S009,S009-A002,,"Step 01: The applicant may contact the nearest Skill Centre under ""Chief Minister’s Yuva Kaushal Yojana""."
S009,S009-A003,,Step 02: The applicant can get the application form at the concerned Skill Centre and fill the form completely.
S009,S009-A004,,Step 03: The applicant must ensure that the filled information should be correct before submitting the application form to the concerned authority.
S009,S009-A005,,"Step 04: After successful verification, the applicant can avail of the benefit of the scheme and the amount of stipend through DBT mode."
S010,S010-A001,,Online**
S010,S010-A002,,Offline**
S010,S010-A003,,Step 01:** The beneficiary has to apply online at I-Khedut Portal. [https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm\_Public\_ANH2\_SchemeApplicaiton.aspx](https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx)﻿
S010,S010-A004,,"Step 02:** Click on the ""Apply New"" button and submit a new application."
S010,S010-A005,,"Step 03:** Click on the ""Update Application"" button to add corrections to the application."
S010,S010-A006,,"Step 04:** Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application."
S010,S010-A007,,Step 05:** The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
S010,S010-A008,,Step 06:** Take a printout of the confirmed application.
S010,S010-A009,,Note 01:** It is mandatory to take a printout of the application (only applying online will not count as an application).
S010,S010-A010,,"Note 02:** Take a printout of the online application and submit it along with necessary documents to the office/office address mentioned on the application or after applying online on the I-Khedut Portal, take a printout of the application and scan it with signature/thumbprint and ""Signed Application Print"" on the portal. A copy can be uploaded by clicking on Upload"" menu. ""Other Document Upload"" wherever applicable."
S010,S010-A011,,Note 03:** The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
S010,S010-A012,,"Note 04:** If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application."
S010,S010-A013,,Note 05:** Scanned copy uploaded in PDF format should not exceed 200 KB in size.
S011,S011-A001,,Online**
S011,S011-A002,,Step 1: Registration***
S011,S011-A003,,"Visit the [Official Portal](https://nats.education.gov.in/index.php) of the National Apprenticeship Training Scheme. In the top ribbon, click ""Student"". On the next page, click ""Student Register"". You will be redirected to the [Registration Page](https://nats.education.gov.in/student_register.php)."
S011,S011-A004,,Step 2: Basic Profile***
S011,S011-A005,,"In the registration page, fill in the following mandatory fields: Basic Details (Name, Father/mother's Name, Aadhar Number), Educational Details (Course/Institute Details), Communication Information (Address, Mobile Number), Bank Details For Stipend Reception, Training Preferences (Field and Location for Apprenticeship)."
S011,S011-A006,,Step 3: Review and Submit***
S011,S011-A007,,"After filling in all the mandatory fields, scroll to the bottom of the page, review the details, and click ""SUBMIT""."
S011,S011-A008,,Step 4: Contract Management***
S011,S011-A009,,"You can find apprenticeship advertisements on the dashboard. The details like title, description, duration, location, skills required, and qualifications needed to apply are visible to the student. Apply for a suitable apprenticeship opportunity."
S011,S011-A010,,Step 5: Track the Application Status***
S011,S011-A011,,Application status can be checked in the application management section.
S011,S011-A012,,Step 6: Contract Acceptance***
S011,S011-A013,,"Students must accept the contract request from the establishment before sending a request to BOAT for final confirmation. Once accepted, the contract request is sent to BOAT for approval. Students can download and engage in the apprenticeship program."
S011,S011-A014,,Step 6: Profile Locking***
S011,S011-A015,,"Once a student's contract is created, their profile is locked, preventing further applications. Profile changes require a request to BOAT."
S012,S012-A001,,Offline**
S012,S012-A002,,"Step 1:** The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications."
S012,S012-A003,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S012,S012-A004,,Step 3:** Submit the duly filled and signed application form along with the documents to the authority given below -
S012,S012-A005,,"**Puducherry:** The Deputy Director, Differently Abled Section, Directorate of Social Welfare."
S012,S012-A006,,"**Karaikal:** The Assistant Director, Social Welfare Department (Sub Office)."
S012,S012-A007,,"**Mahe / Yanam:** The Welfare Officer (i\c), Social Welfare Department (Sub Office)."
S012,S012-A008,,"Step 4:** Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable)."
S013,S013-A001,,Online**
S013,S013-A002,,Registration***
S013,S013-A003,,Step-1:** Applicant have to visit the [official portal](https://sso.rajasthan.gov.in/signin).
S013,S013-A004,,Step-2:** Click on the option “[Register](https://sso.rajasthan.gov.in/register)”.
S013,S013-A005,,Step-3:** Then you will be redirected to the SSO registration page. The registration page will appear with the following options.
S013,S013-A006,,
S013,S013-A007,,Citizen
S013,S013-A008,,Step-4:** Choose the either one option from  the Jan Aadhaar Or Google to process further.
S013,S013-A009,,
S013,S013-A010,,"Jan Aadhaar : Enter the Jan Aadhaar number, click on the ‘Next’ button,"
S013,S013-A011,,
S013,S013-A012,,"Select your name, the name of the head of the family and all the other members and"
S013,S013-A013,,Click on the ‘Send OTP’ button. Enter the ‘OTP’ and
S013,S013-A014,,Click on the ‘Verify OTP’ button to Complete the registration.
S013,S013-A015,,
S013,S013-A016,,"Google : Enter the Gmail ID, click on the ‘Next’ button,"
S013,S013-A017,,
S013,S013-A018,,Enter the password.
S013,S013-A019,,"A new link appear on screen, now click on new SSO link."
S013,S013-A020,,"SSO id will appear on screen, now create the password."
S013,S013-A021,,"Enter Mobile number, click on registration."
S013,S013-A022,,Apply***
S013,S013-A023,,Step-1:** Applicant have to visit the [official portal](https://sso.rajasthan.gov.in/signin).
S013,S013-A024,,"Step-2:** After login, dashboard will open."
S013,S013-A025,,Step-3:** Click on “LDMS” option.
S013,S013-A026,,"Step-4:** In LDMS, select ""Welfare Schemes"" from the side menu and select BOCW Welfare Board."
S013,S013-A027,,"Step-5:** Now click on ""Apply for Scheme"" on screen."
S013,S013-A028,,"Step-6:** In this new page, will get a list of names of all the schemes of Rajasthan Shramik Card, out of which click on the name of ""Shubhshakti Yojana"""
S013,S013-A029,,Step-7:** Fill out the all relevant detail.
S013,S013-A030,,Step-8:** Submit.
S014,S014-A001,,Offline**
S014,S014-A002,,Step 1:** The interested applicant should take print of the [prescribed format](https://dic.py.gov.in/sites/default/files/inplant.pdf) of the application form.
S014,S014-A003,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S014,S014-A004,,"Step 3:** The interested applicant should visit (on a working day, and during office hours) the General Manager of the District Industries Centre (Thattanchavady, Puducherry - 605 009, 2248391, 2249392, 2248987, dic\_pdy\@bsnl.in), and submit the duly filled and signed application form and the documents to the concerned authority."
S014,S014-A005,,"Step 4:** On receipt of the application, necessary entries will be made in the application receipt register and a unique number is assigned to the applicant for identifying each applicant which shall be used for all further references and also as acknowledgement for the receipt of the application."
S014,S014-A006,,Time of Submission of Application:** Month of January (Advertisement will be floated in local dailies during December).
S015,S015-A001,,Online**
S015,S015-A002,,Offline**
S015,S015-A003,,Portal Registration Process:***
S015,S015-A004,,Step 01:** Visit online Portal: [https://serviceonline.gov.in/](https://serviceonline.gov.in/)﻿
S015,S015-A005,,"Step 02:** On the home page, click on ‘[Register](https://serviceonline.gov.in/citizenRegistration.html)’ and fill in all the mandatory details."
S015,S015-A006,,Step 03:** Click on the ‘Submit’ button and validate your Email ID & Mobile Number using OTP received.
S015,S015-A007,,"Step 04:** After successful validation, the applicant will be registered."
S015,S015-A008,,Registration Process of Construction Workers under A&N Islands Building & Other Construction Workers Welfare Board:***
S015,S015-A009,,Step 01:** Applicant can [login](https://serviceonline.gov.in/loginWindow.do) through their email ID that is used while registering
S015,S015-A010,,Step 02:** Enter Password & Captcha
S015,S015-A011,,Step 03:** Click on ‘Login’
S015,S015-A012,,"Step 04:** After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’"
S015,S015-A013,,"Step 05:** Now, search for the “Registration of Construction Workers in AN BOCWWB” and then click to proceed registration process."
S015,S015-A014,,Step 06:** Fill in all the mandatory details and upload all the relevant documents.
S015,S015-A015,,Step 07:** Preview the form and click on ‘Submit’.
S015,S015-A016,,"Step 08:** After successful registration, the applicant will receive a registration ID."
S015,S015-A017,,Application Process for Skill Development Assistance:***
S015,S015-A018,,"Step 01:** Now, to avail the benefits of the scheme, the applicants can [login](https://serviceonline.gov.in/loginWindow.do) through their email ID that is used while registering"
S015,S015-A019,,Step 02:** Enter Password & Captcha
S015,S015-A020,,Step 03:** Click on ‘Login’
S015,S015-A021,,"Step 04:** After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’"
S015,S015-A022,,"Step 05:** Now, search for ‘Skill Development Financial Assistance’ and click on the scheme to proceed to fill out the application form."
S015,S015-A023,,Step 06:** Fill in all the mandatory details and upload all the mandatory documents.
S015,S015-A024,,Step 07:** Preview the application form and click on ‘Submit’.
S015,S015-A025,,Application Tracking:***
S015,S015-A026,,"Step 01:** To track the application status, the applicant can visit the online Portal and [login](https://serviceonline.gov.in/loginWindow.do) through their ‘User ID’ & ‘Password’."
S015,S015-A027,,"Step 02:** On the home page, click on “View Application Status’ and then click on ‘Track Application Status’."
S015,S015-A028,,Step 03:** Enter the Application Reference Number and click on ‘Get Data’ to know the status of your application.
S016,S016-A001,,Offline**
S016,S016-A002,,"Step 1:** The interested construction worker should visit the Office of the Puducherry Building and Other Construction Workers Welfare Board (Industrial Estate, Thattanchavady, Puducherry - 605 009) and obtain the prescribed format of the application form free of cost from the concerned authority exclusively entrusted to issue and collect filled-in applications."
S016,S016-A003,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S016,S016-A004,,Step 3:** The interested construction worker should submit the duly filled and signed application form and the documents to the concerned authority.
S016,S016-A005,,"Step 4:** Request a receipt or acknowledgement from the concerned authority to whom the application form has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable)."
S017,S017-A001,,Online**
S017,S017-A002,,Offline**
S017,S017-A003,,Registration Process:**
S017,S017-A004,,"Step 01:** To avail of the benefits of the scheme, the applicant needs to visit [SUNEETHI- Online Service Application Portal](https://suneethi.sjd.kerala.gov.in/)﻿"
S017,S017-A005,,"Step 02:** On the home page, click on “One time Registration”"
S017,S017-A006,,"Step 03:** Fill in the details like Name, Email ID & Mobile Number and click on ‘Register’."
S017,S017-A007,,Step 04:** The applicant needs to enter the verification code received on the mobile number and click on ‘Verify’.
S017,S017-A008,,"Step 05:** Now, a form will open to create the new profile, fill in all the mandatory details and click on ‘Register’."
S017,S017-A009,,Login/Application Process:**
S017,S017-A010,,"Step 01:** Once the registration process is completed, the applicant should visit [SUNEETHI- Online Service Application Portal](https://suneethi.sjd.kerala.gov.in/) and click on “Citizen Login”."
S017,S017-A011,,Step 02:** Enter the user name i.e. Mobile Number and Password and click on “Sign in”.
S017,S017-A012,,"Step 03:** Now, the applicant needs to update all their details i.e. Personal Information, Contact Details, Identity Cards & Bank Details by clicking on the 'Edit' button."
S017,S017-A013,,"Step 04:** Once the applicant updated their profile successfully, the schemes will appear on the left side of the screen."
S017,S017-A014,,Step 05:** Select the scheme and click on the “Apply Now” button.
S017,S017-A015,,Step 06:** Fill in all the mandatory details in the application form and click on the ‘Submit’ button.
S018,S018-A001,,Offline**
S018,S018-A002,,"Step 1:** The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications."
S018,S018-A003,,OR
S018,S018-A004,,The interested applicant should take print of the prescribed format [﻿](https://wcd.py.gov.in/sites/default/files/wcdmarrigeofpoorbride.pdf)
S018,S018-A005,,of the application form.
S018,S018-A006,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S018,S018-A007,,Step 3:** Submit the duly filled and signed application form along with the documents to the authority given below -
S018,S018-A008,,"**Puducherry:** The Deputy Director, Differently Abled Section, Directorate of Social Welfare."
S018,S018-A009,,"**Karaikal:** The Assistant Director, Social Welfare Department (Sub Office)."
S018,S018-A010,,"**Mahe / Yanam:** The Welfare Officer (i\c), Social Welfare Department (Sub Office)."
S018,S018-A011,,"Step 4:** Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable)."
S019,S019-A001,,Online**
S019,S019-A002,,Registration of a Construction Worker under BBOCWWB:***
S019,S019-A003,,Step 1:** Visit the [Official Website](https://bocwscheme.bihar.gov.in/home) of the Bihar Building and Other Construction Workers Welfare Board.
S019,S019-A004,,"Step 2:** On the homepage, click on ""[Labour Registration](https://bocwscheme.bihar.gov.in/worker_reg)""."
S019,S019-A005,,"Step 3:** Enter your Aadhar card number and name, then click ""Authenticate""."
S019,S019-A006,,"Step 4:** A dashboard will appear. Enter all required details, ensuring that all fields marked with an asterisk (\*) are filled in correctly."
S019,S019-A007,,"Step 5:** Click on ""Submit"" and proceed to pay the application fee online."
S019,S019-A008,,Step 6:** You will receive your construction worker registration number upon successful registration.
S019,S019-A009,,Apply for Scheme Benefits:***
S019,S019-A010,,Step 1:** Visit the [Official Website](https://bocwscheme.bihar.gov.in/home) of the Bihar Building and Other Construction Workers Welfare Board.
S019,S019-A011,,"Step 2:** Click on ""Login"" and select ""Labour""."
S019,S019-A012,,"Step 3:** Enter your registration number & year of Birth, click ""Show"" to view your details."
S019,S019-A013,,Step 4:** Select the scheme you wish to apply for to avail the benefits.
S019,S019-A014,,Step 5:** Enter all required information and upload the necessary documents.
S019,S019-A015,,"Step 6:** Click on ""Submit Application"" to complete the process."
S019,S019-A016,,Application Tracking:***
S019,S019-A017,,Applicant can track their application status online through the [official website](https://bocwscheme.bihar.gov.in/home) of the Bihar Building and Other Construction Workers Welfare Board. Relevant updates will be sent to the registered mobile number.
S020,S020-A001,,Offline**
S020,S020-A002,,The advertisement is published in newspapers.
S021,S021-A001,,Offline**
S021,S021-A002,,Online**
S021,S021-A003,,"Step 1:** The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications."
S021,S021-A004,,OR
S021,S021-A005,,The interested applicant should take print of the [prescribed format](https://socwelfare.py.gov.in/sites/default/files/free-bus-pass-differently-abled-persons.pdf) [﻿](https://wcd.py.gov.in/sites/default/files/wcdmarrigeofpoorbride.pdf)
S021,S021-A006,,of the application form.
S021,S021-A007,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S021,S021-A008,,Step 3:** Submit the duly filled and signed application form along with the documents to the authority given below -
S021,S021-A009,,"**Puducherry:** The Deputy Director, Differently Abled Section, Directorate of Social Welfare."
S021,S021-A010,,"**Karaikal:** The Assistant Director, Social Welfare Department (Sub Office)."
S021,S021-A011,,"**Mahe / Yanam:** The Welfare Officer (i\c), Social Welfare Department (Sub Office)."
S021,S021-A012,,"Step 4:** Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable)."
S022,S022-A001,,Offline**
S022,S022-A002,,"For both Fresh Applications and Renewal Applications, the applicant should write a formal letter, attach copies of all the mandatory documents (self-attest, if required), and submit the same to -"
S022,S022-A003,,The Director**
S022,S022-A004,,Department of Information & Publicity**
S022,S022-A005,,"18, Belcombe Street, Puducherry - 605 001**"
S022,S022-A006,,"+91-413-2334398, 2336415, 2337078**"
S022,S022-A007,,info.pon\@nic.in**
S022,S022-A008,,"\*The Office Timings are Monday to Friday, 08:45 am to 01:00 pm & 02:00 pm to 05:45 pm.*"
S023,S023-A001,,Offline**
S023,S023-A002,,The citizens need not apply to this scheme.
S024,S024-A001,,Online**
S024,S024-A002,,Registration***
S024,S024-A003,,Step 1:** Visit the DBoCWWB website and click “Register Now”.
S024,S024-A004,,"Step 2:** Enter the following mandatory details: Aadhaar Card Number, Name as on Aadhar Card, Mobile Number, Date of Birth (as on Aadhar Card), Gender, etc. Create a password and confirm it. Click “Register”. You will be redirected to the registration page."
S024,S024-A005,,"Step 3:** On the registration page, fill in the mandatory details (Father Name, Mother Name, Photograph, Applicant’s Video, etc) and upload the mandatory documents in the specified filetype and filesize. Click “Save & Next”."
S024,S024-A006,,"Step 4:** On the next page, enter the mandatory details regarding your work/workplace (Previous/Current Employer Details, Proof of 90 Days Employment, etc) and upload the mandatory documents in the specified filetype and filesize. Click “Save & Next”."
S024,S024-A007,,Step 5:** Click on “Add Family Members” to avail the benefits of various schemes.
S024,S024-A008,,"Step 6:** In the next window, add your Bank Account details."
S024,S024-A009,,"Step 7:** In the next window, upload your Aadhaar Card, Address Proof, Birth Proof, Employment Proof, Bank Account details etc."
S024,S024-A010,,"Step 8:** In the next window, the ""Affidavit of the Applicant"" will be displayed. Verify all the details, and click on the checkbox."
S024,S024-A011,,Step 9:** Proceed for the online registration fee of ₹25/- through a Debit Card/ Internet Banking/ UPI.
S024,S024-A012,,Step 10:** Enter the OTP received on your registered mobile number to apply. Note down the Application Number for future reference. Download the acknowledgement receipt.
S024,S024-A013,,Track Your Application***
S024,S024-A014,,"Visit the homepage of the website regularly and click on ""Track Your Application"" to check the status of your application."
S024,S024-A015,,Application for Yatra Pass in DTC:***
S024,S024-A016,,"Step 01:** Go to the DTC [Website  ](https://dtcpass.delhi.gov.in/apply)and fill up the application form selecting the appropriate type and duration of bus pass, and upload soft copy of the required document in case of Concessional Bus Pass."
S024,S024-A017,,Step 02:** Make the payment online.
S024,S024-A018,,Step 03:** Conventional Bus pass shall be delivered at Applicant residential address within 5 working days and e-Bus Pass shall be sent through SMS via a link on Applicant Mobile Number within one working day.
S024,S024-A019,,"Helpline: DBOCWWB Department, Delhi***"
S024,S024-A020,,Helpline Number (24x1) : 011-41236600**
S024,S024-A021,,Number (office hours: 9:30AM - 6:00PM) : 011-23813846**
S024,S024-A022,,Address & Helpline: Delhi Transport Corporation***
S024,S024-A023,,"Pass Section,**"
S024,S024-A024,,"Delhi Transport Corporation,**"
S024,S024-A025,,"Scindia House, KG Marg**"
S024,S024-A026,,"Connaught Place, New Delhi 110 001.**"
S024,S024-A027,,"Phones: 011-23752769 - 75,Ext.226.**"
S024,S024-A028,,Mobile: 08744073213**
S025,S025-A001,,Online**
S025,S025-A002,,Step 01:** The applicant need to visit the Transport Department’s official website for Mukhyamantri Block Transport Yojana [registration](http://appsonline.bih.nic.in/MMGPY/NewRegistrationUser.aspx).
S025,S025-A003,,Step 02:** The applicant need to fill following details while registering :
S025,S025-A004,,
S025,S025-A005,,Phone Number
S025,S025-A006,,Password
S025,S025-A007,,Re-password
S025,S025-A008,,Email ID
S025,S025-A009,,Driving Licence Number
S025,S025-A010,,Step-03:** Submit the details
S026,S026-A001,,Offline**
S026,S026-A002,,Step 1:** The interested applicant should collect the application form from the District Central Cooperative Banks or its branches.
S026,S026-A003,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S026,S026-A004,,Step 3:** Submit the duly filled and signed application form along with the documents to the concerned authority..
